"native","physiognomy","synonymGC","commonName","nameDNR"
"N","H","Achillea sibirica","Siberian yarrow","Achillea alpina"
"N","H","Achillea millefolium, Achillea millefolium subsp. lanulosa, Achillea millefolium subsp. millefolium","common yarrow","Achillea millefolium"
"I","H","Achillea ptarmica","pearly yarrow","Achillea ptarmica"
"N","H","Eupatorium rugosum var. rugosum","white snakeroot","Ageratina altissima var. altissima"
"I","H","Ambrosia acanthicarpa","annual bursage","Ambrosia acanthicarpa"
"N","H","Ambrosia artemisiifolia","common ragweed","Ambrosia artemisiifolia"
"N","H","Ambrosia psilostachya","western ragweed","Ambrosia psilostachya"
"N","H","Ambrosia trifida, Ambrosia trifida var. trifida","great ragweed","Ambrosia trifida"
"N","H","Anaphalis margaritacea","pearly everlasting","Anaphalis margaritacea"
"N","H","Antennaria neglecta s.l.","Howell's pussytoes","Antennaria howellii"
"N","H","Antennaria neglecta var. canadensis","Howell's pussytoes","Antennaria howellii subsp. canadensis"
"N","H","Antennaria neglecta var. neodioica","Howell's pussytoes","Antennaria howellii subsp. neodioica"
"N","H","Antennaria neglecta var. petaloidea","Howell's pussytoes","Antennaria howellii subsp. petaloidea"
"N","H","Antennaria microphylla","tiny-leaved pussytoes","Antennaria microphylla"
"N","H","Antennaria neglecta s.l., Antennaria neglecta var. neglecta","field pussytoes","Antennaria neglecta"
"N","H","Antennaria plantaginifolia s.l.","Parlin's pussytoes","Antennaria parlinii"
"N","H","Antennaria plantaginifolia var. ambigens","Parlin's pussytoes","Antennaria parlinii subsp. fallax"
"N","H","Antennaria plantaginifolia var. parlinii","Parlin's pussytoes","Antennaria parlinii subsp. parlinii"
"N","H","Antennaria parvifolia","small-leaved pussytoes","Antennaria parvifolia"
"N","H","Antennaria plantaginifolia s.l., Antennaria plantaginifolia var. plantaginifolia","plantain-leaved pussytoes","Antennaria plantaginifolia"
"I","H","Anthemis cotula","dog fennel","Anthemis cotula"
"I","H","Arctium lappa","great burdock","Arctium lappa"
"I","H","Arctium minus","common burdock","Arctium minus"
"I","H","Arctium tomentosum","woolly burdock","Arctium tomentosum"
"N","H","Cacalia plantaginea","tuberous Indian plantain","Arnoglossum plantagineum"
"N","H","Cacalia muhlenbergii","great Indian plantain","Arnoglossum reniforme"
"I","H","Artemisia abrotanum","southernwood","Artemisia abrotanum"
"I","H","Artemisia absinthium","absinthe wormwood","Artemisia absinthium"
"I","H","Artemisia biennis","biennial wormwood","Artemisia biennis"
"N","H","Artemisia campestris subsp. caudata","field sagewort","Artemisia campestris subsp. caudata"
"N","H","Artemisia dracunculus","tarragon","Artemisia dracunculus"
"N","H","Artemisia frigida","sage wormwood","Artemisia frigida"
"N","H","Artemisia ludoviciana var. ludoviciana","white sage","Artemisia ludoviciana subsp. ludoviciana"
"N","H","Artemisia serrata","saw-tooth wormwood","Artemisia serrata"
"I","H","Artemisia vulgaris","common wormwood","Artemisia vulgaris"
"N","F,H,S","Bidens beckii","water marigold","Bidens beckii"
"N","H","Bidens cernua","nodding bur marigold","Bidens cernua"
"N","H","Bidens connata","swamp beggarticks","Bidens connata"
"N","H","Bidens discoidea","discoid beggarticks","Bidens discoidea"
"N","H","Bidens frondosa","leafy beggarticks","Bidens frondosa"
"N","H","Bidens coronata","showy beggarticks","Bidens trichosperma"
"N","H","Bidens comosa","tufted beggarticks","Bidens tripartita"
"N","H","Bidens vulgata","common beggarticks","Bidens vulgata"
"N","H","Boltonia asteroides","false aster","Boltonia asteroides"
"N","H","Boltonia asteroides var. latisquama","false aster","Boltonia asteroides var. latisquama"
"N","H","Boltonia asteroides var. recognita","false aster","Boltonia asteroides var. recognita"
"N","H","Kuhnia eupatorioides var. corymbulosa","false boneset","Brickellia eupatorioides var. corymbulosa"
"I","H","","plumeless thistle","Carduus acanthoides subsp. acanthoides"
"I","H","Carduus nutans","nodding thistle","Carduus nutans"
"I","H","Centaurea cyanus","cornflower","Centaurea cyanus"
"I","H","Centaurea jacea","brown knapweed","Centaurea jacea"
"I","H","Centaurea montana","perennial cornflower","Centaurea montana"
"I","H","Centaurea dubia","","Centaurea nigrescens"
"I","H","Centaurea maculosa","spotted knapweed","Centaurea stoebe subsp. micranthos"
"I","H","","meadow knapweed","Centaurea xmoncktonii"
"I","H","Cichorium intybus","chicory","Cichorium intybus"
"N","H","Cirsium altissimum","tall thistle","Cirsium altissimum"
"I","H","Cirsium arvense, Cirsium arvense var. arvense, Cirsium arvense var. horridum","Canada thistle","Cirsium arvense"
"N","H","Cirsium discolor","field thistle","Cirsium discolor"
"N","H","Cirsium flodmanii","Flodman's thistle","Cirsium flodmanii"
"N","H","Cirsium muticum","swamp thistle","Cirsium muticum"
"I","H","","marsh thistle","Cirsium palustre"
"N","H","Cirsium hillii","Hill's thistle","Cirsium pumilum var. hillii"
"I","H","Cirsium vulgare","bull thistle","Cirsium vulgare"
"N","H","Conyza canadensis","horseweed","Conyza canadensis"
"N","H","Conyza ramosissima","spreading fleabane","Conyza ramosissima"
"I","H","Coreopsis lanceolata","lance-leaved coreopsis","Coreopsis lanceolata"
"N","H","Coreopsis palmata","bird's foot coreopsis","Coreopsis palmata"
"I","H","Coreopsis tinctoria","plains coreopsis","Coreopsis tinctoria"
"N","H","Crepis runcinata subsp. runcinata","incised hawk's beard","Crepis runcinata subsp. runcinata"
"I","H","Crepis tectorum","yellow hawk's beard","Crepis tectorum"
"N","H","Iva xanthifolia","marsh elder","Cyclachaena xanthiifolia"
"N","H","Aster pubentior, Aster umbellatus","flat-topped aster","Doellingeria umbellata"
"N","H","Aster pubentior","flat-topped aster","Doellingeria umbellata var. pubens"
"N","H","Aster umbellatus","flat-topped aster","Doellingeria umbellata var. umbellata"
"N","H","Dyssodia papposa","fetid marigold","Dyssodia papposa"
"N","H","Echinacea pallida var. angustifolia","narrow-leaved purple coneflower","Echinacea angustifolia"
"I","H","Echinops sphaerocephalus","great globethistle","Echinops sphaerocephalus"
"N","H","Eclipta prostrata","yerba de tajo","Eclipta prostrata"
"N","H","Erechtites hieraciifolia var. hieraciifolia","pilewort","Erechtites hieraciifolius var. hieraciifolius"
"N","H","Erigeron acris var. kamtschaticus","bitter fleabane","Erigeron acris var. kamtschaticus"
"N","H","Erigeron annuus","annual fleabane","Erigeron annuus"
"N","H","Erigeron glabellus var. pubescens","smooth fleabane","Erigeron glabellus var. pubescens"
"N","H","","short ray fleabane","Erigeron lonchophyllus"
"N","H","Erigeron philadelphicus","Philadelphia fleabane","Erigeron philadelphicus var. philadelphicus"
"N","H","Erigeron pulchellus","poor robin's fleabane","Erigeron pulchellus"
"N","H","Erigeron pulchellus var. pulchellus","poor robin's fleabane","Erigeron pulchellus var. pulchellus"
"N","H","Erigeron pulchellus var. tolsteadii","Tolstead's Erigeron","Erigeron pulchellus var. tolsteadii"
"N","H","Erigeron strigosus","daisy fleabane","Erigeron strigosus"
"N","H","Erigeron strigosus var. septentrionalis","daisy fleabane","Erigeron strigosus var. septentrionalis"
"N","H","Erigeron strigosus var. beyrichii, Erigeron strigosus var. strigosus","daisy fleabane","Erigeron strigosus var. strigosus"
"N","H","Eupatorium altissimum","tall boneset","Eupatorium altissimum"
"N","H","Eupatorium perfoliatum","common boneset","Eupatorium perfoliatum"
"N","H","Eupatorium sessilifolium","upland boneset","Eupatorium sessilifolium"
"N","H","Aster macrophyllus","large-leaved aster","Eurybia macrophylla"
"N","H","Euthamia graminifolia, Euthamia graminifolia var. graminifolia, Euthamia graminifolia var. major","grass-leaved goldenrod","Euthamia graminifolia"
"N","H","Euthamia gymnospermoides","Great Plains goldentop","Euthamia gymnospermoides"
"N","H","Eupatorium maculatum","spotted Joe pye weed","Eutrochium maculatum"
"N","H","Eupatorium maculatum subsp. bruneri","spotted Joe pye weed","Eutrochium maculatum var. bruneri"
"N","H","Eupatorium maculatum var. foliosum","spotted Joe pye weed","Eutrochium maculatum var. foliosum"
"N","H","Eupatorium maculatum var. maculatum","spotted Joe pye weed","Eutrochium maculatum var. maculatum"
"N","H","Eupatorium purpureum var. holzingeri","sweet-scented Joe pye weed","Eutrochium purpureum var. holzingeri"
"N","H","Gaillardia aristata","blanketflower","Gaillardia aristata"
"I","H","Gaillardia pulchella","rose-ring gaillardia","Gaillardia pulchella"
"I","H","Galinsoga parviflora","small-flowered galinsoga","Galinsoga parviflora var. parviflora"
"I","H","Galinsoga quadriradiata","hairy galinsoga","Galinsoga quadriradiata"
"I","H","Gnaphalium uliginosum","low cudweed","Gnaphalium uliginosum"
"N","H","Grindelia squarrosa var. quasiperennis","hairy gumweed","Grindelia hirsutula"
"N","H","Grindelia squarrosa, Grindelia squarrosa var. serrulata, Grindelia squarrosa var. squarrosa","curly cup gumweed","Grindelia squarrosa"
"N","H","Cacalia suaveolens","sweet-smelling Indian plantain","Hasteola suaveolens"
"N","H","Helenium autumnale var. autumnale","autumn sneezeweed","Helenium autumnale"
"N","H","Helianthus annuus","common sunflower","Helianthus annuus"
"N","H","Helianthus giganteus s.l.","giant sunflower","Helianthus giganteus"
"N","H","Helianthus grosseserratus","sawtooth sunflower","Helianthus grosseserratus"
"N","H","Helianthus hirsutus","hairy sunflower","Helianthus hirsutus"
"N","H","Helianthus maximilianii","Maximilian's sunflower","Helianthus maximiliani"
"N","H","Helianthus giganteus s.l.","Nuttall's sunflower","Helianthus nuttallii subsp. rydbergii"
"N","H","Helianthus occidentalis var. occidentalis","western sunflower","Helianthus occidentalis subsp. occidentalis"
"N","H","Helianthus pauciflorus","stiff sunflower","Helianthus pauciflorus"
"N","H","Helianthus pauciflorus var. pauciflorus","stiff sunflower","Helianthus pauciflorus subsp. pauciflorus"
"N","H","Helianthus pauciflorus var. subrhomboideus","stiff sunflower","Helianthus pauciflorus subsp. subrhomboideus"
"N","H","Helianthus petiolaris","prairie sunflower","Helianthus petiolaris subsp. petiolaris"
"N","H","Helianthus strumosus","woodland sunflower","Helianthus strumosus"
"N","H","Helianthus tuberosus","Jerusalem artichoke","Helianthus tuberosus"
"N","H","Helianthus xlaetiflorus","bright sunflower","Helianthus xlaetiflorus"
"N","H","Heliopsis helianthoides var. scabra","ox-eye","Heliopsis helianthoides var. scabra"
"N","H","Chrysopsis villosa, Chrysopsis villosa var. angustifolia","stiff-leaf golden aster","Heterotheca stenophylla var. angustifolia"
"N","H","Chrysopsis villosa","hairy golden aster","Heterotheca villosa"
"N","H","","hairy golden aster","Heterotheca villosa var. ballardii"
"N","H","Chrysopsis villosa var. foliosa","hairy golden aster","Heterotheca villosa var. foliosa"
"N","H","","hairy golden aster","Heterotheca villosa var. minor"
"N","H","Chrysopsis villosa var. villosa","hairy golden aster","Heterotheca villosa var. villosa"
"I","H","Hieracium aurantiacum","orange hawkweed","Hieracium aurantiacum"
"I","H","Hieracium caespitosum","meadow hawkweed","Hieracium caespitosum"
"N","H","Hieracium longipilum","long-bearded hawkweed","Hieracium longipilum"
"I","H","Hieracium pilosella","mouse-ear hawkweed","Hieracium pilosella"
"I","H","Hieracium piloselloides","king devil hawkweed","Hieracium piloselloides"
"N","H","Hieracium scabrum","sticky hawkweed","Hieracium scabrum"
"N","H","Hieracium kalmii, Hieracium umbellatum s.s.","rough hawkweed","Hieracium umbellatum"
"I","H","Hieracium lachenalii","common hawkweed","Hieracium vulgatum"
"N","H","Hieracium floribundum","smooth king-devil","Hieracium xfloribundum"
"I","H","Inula helenium","elecampane","Inula helenium"
"N","H","Krigia biflora","orange dwarfdandelion","Krigia biflora"
"N","H","Lactuca biennis","biennial blue lettuce","Lactuca biennis"
"N","H","Lactuca canadensis","Canada wild lettuce","Lactuca canadensis"
"N","H","Lactuca floridana","Florida wild lettuce","Lactuca floridana"
"N","H","Lactuca ludoviciana","Louisiana lettuce","Lactuca ludoviciana"
"I","H","Lactuca serriola","prickly lettuce","Lactuca serriola"
"I","H","Lapsana communis","nipplewort","Lapsana communis"
"I","H","Leontodon autumnalis var. autumnalis","fall dandelion","Leontodon autumnalis"
"I","H","Chrysanthemum leucanthemum","ox-eye daisy","Leucanthemum vulgare"
"N","H","Liatris aspera","rough blazing star","Liatris aspera"
"N","H","Liatris cylindracea","cylindric blazing star","Liatris cylindracea"
"N","H","Liatris ligulistylis","northern plains blazing star","Liatris ligulistylis"
"N","H","Liatris punctata","dotted blazing star","Liatris punctata var. punctata"
"N","H","Liatris pycnostachya","great blazing star","Liatris pycnostachya var. pycnostachya"
"I","H","Matricaria recutita","wild chamomile","Matricaria chamomilla"
"I","H","Matricaria matricarioides","pineapple weed","Matricaria discoidea"
"N","H","Microseris cuspidata","prairie false dandelion","Nothocalais cuspidata"
"N","H","Senecio aureus","golden ragwort","Packera aurea"
"N","H","Senecio canus","gray ragwort","Packera cana"
"N","H","Senecio indecorus","elegant groundsel","Packera indecora"
"N","H","Senecio pauperculus","balsam ragwort","Packera paupercula"
"N","H","Senecio plattensis","prairie ragwort","Packera plattensis"
"N","H","Senecio pseudaureus, Senecio pseudaureus var. semicordatus","western heart-leaved groundsel","Packera pseudaurea var. semicordata"
"N","H","Parthenium integrifolium","wild quinine","Parthenium integrifolium"
"N","H","Petasites frigidus var. palmatus, Petasites sagittatus","sweet coltsfoot","Petasites frigidus"
"N","H","Petasites frigidus var. palmatus","palmate sweet coltsfoot","Petasites frigidus var. palmatus"
"N","H","Petasites sagittatus","arrow-leaved sweet coltsfoot","Petasites frigidus var. sagittatus"
"N","H","Petasites xvitifolius","grape-leaved sweet coltsfoot","Petasites frigidus var. xvitifolius"
"N","H","Polymnia canadensis","leafcup","Polymnia canadensis"
"N","H","Prenanthes alba","white rattlesnakeroot","Prenanthes alba"
"N","H","Prenanthes aspera","hairy rattlesnakeroot","Prenanthes aspera"
"N","H","Prenanthes crepidinea","nodding rattlesnakeroot","Prenanthes crepidinea"
"N","H","Prenanthes racemosa, Prenanthes racemosa var. multiflora, Prenanthes racemosa var. racemosa","smooth rattlesnakeroot","Prenanthes racemosa"
"N","H","Gnaphalium macounii","clammy cudweed","Pseudognaphalium macounii"
"N","H","Gnaphalium obtusifolium","sweet everlasting","Pseudognaphalium obtusifolium"
"N","H","Ratibida columnifera","prairie coneflower","Ratibida columnifera"
"N","H","Ratibida pinnata","gray-headed coneflower","Ratibida pinnata"
"N","H","Rudbeckia hirta var. pulcherrima","black-eyed susan","Rudbeckia hirta var. pulcherrima"
"N","H","Rudbeckia laciniata","cutleaf coneflower","Rudbeckia laciniata var. laciniata"
"I","H","Rudbeckia subtomentosa","sweet coneflower","Rudbeckia subtomentosa"
"N","H","Rudbeckia triloba","three-leaved coneflower","Rudbeckia triloba var. triloba"
"N","H","Senecio integerrimus","entire ragwort","Senecio integerrimus var. integerrimus"
"I","H","Senecio viscosus","sticky ragwort","Senecio viscosus"
"I","H","Senecio vulgaris","common groundsel","Senecio vulgaris"
"N","H","Silphium laciniatum","compass plant","Silphium laciniatum"
"N","H","Silphium perfoliatum","cup plant","Silphium perfoliatum var. perfoliatum"
"N","H","Solidago canadensis s.l.","late goldenrod","Solidago altissima"
"N","H","Solidago canadensis var. scabra","late goldenrod","Solidago altissima subsp. altissima"
"N","H","Solidago canadensis var. gilvocanescens","late goldenrod","Solidago altissima subsp. gilvocanescens"
"N","H","Solidago canadensis s.l.","Canada goldenrod","Solidago canadensis"
"N","H","Solidago canadensis var. canadensis","Canada goldenrod","Solidago canadensis var. canadensis"
"N","H","Solidago canadensis var. hargeri","Canada goldenrod","Solidago canadensis var. hargeri"
"N","H","Solidago flexicaulis","zigzag goldenrod","Solidago flexicaulis"
"N","H","Solidago gigantea","giant goldenrod","Solidago gigantea"
"N","H","Solidago hispida, Solidago hispida var. arnoglossa, Solidago hispida var. hispida","hairy goldenrod","Solidago hispida"
"N","H","Solidago juncea","early goldenrod","Solidago juncea"
"N","H","Solidago missouriensis, Solidago missouriensis var. fasciculata, Solidago missouriensis var. missouriensis","Missouri goldenrod","Solidago missouriensis"
"N","H","Solidago mollis","soft goldenrod","Solidago mollis"
"N","H","Solidago nemoralis","gray goldenrod","Solidago nemoralis"
"N","H","Solidago nemoralis var. longipetiolata","gray goldenrod","Solidago nemoralis subsp. decemflora"
"N","H","Solidago nemoralis var. nemoralis","gray goldenrod","Solidago nemoralis subsp. nemoralis"
"N","H","Solidago ptarmicoides","upland white aster","Solidago ptarmicoides"
"N","H","Solidago riddellii","Riddell's goldenrod","Solidago riddellii"
"N","H","Solidago rigida","stiff goldenrod","Solidago rigida"
"N","H","Solidago rigida var. humilis","stiff goldenrod","Solidago rigida subsp. humilis"
"N","H","Solidago rigida var. rigida","stiff goldenrod","Solidago rigida subsp. rigida"
"N","H","Solidago sciaphila","cliff goldenrod","Solidago sciaphila"
"N","H","Solidago speciosa","showy goldenrod","Solidago speciosa"
"N","H","Solidago speciosa var. rigidiuscula","showy goldenrod","Solidago speciosa var. rigidiuscula"
"N","H","Solidago speciosa var. jejunifolia, Solidago speciosa var. speciosa","showy goldenrod","Solidago speciosa var. speciosa"
"N","H","Solidago uliginosa","bog goldenrod","Solidago uliginosa"
"N","H","Solidago ulmifolia","elm-leaved goldenrod","Solidago ulmifolia var. ulmifolia"
"N","H","Solidago xbernardii","bernard's goldenrod","Solidago xbernardii"
"I","H","Sonchus arvensis s.l.","field sow thistle","Sonchus arvensis"
"I","H","Sonchus arvensis var. arvensis","field sow thistle","Sonchus arvensis subsp. arvensis"
"I","H","Sonchus arvensis var. glabrescens","field sow thistle","Sonchus arvensis subsp. uliginosus"
"I","H","Sonchus asper","spiny sow thistle","Sonchus asper"
"I","H","Sonchus oleraceus","common sow thistle","Sonchus oleraceus"
"N","H","Aster borealis","bog aster","Symphyotrichum boreale"
"N","H","Aster brachyactis","short-rayed aster","Symphyotrichum ciliatum"
"N","H","Aster ciliolatus","Lindley's aster","Symphyotrichum ciliolatum"
"N","H","Aster cordifolius","heart-leaved aster","Symphyotrichum cordifolium"
"N","H","Aster drummondii","Drummond's aster","Symphyotrichum drummondii var. drummondii"
"N","H","Aster ericoides","heath aster","Symphyotrichum ericoides"
"N","H","","heath aster","Symphyotrichum ericoides var. ericoides"
"N","H","","heath aster","Symphyotrichum ericoides var. pansum"
"N","H","Aster falcatus var. commutatus","sickle-shaped aster","Symphyotrichum falcatum var. commutatum"
"N","H","Aster firmus","glossy-leaf aster","Symphyotrichum firmum"
"N","H","Aster laevis","smooth blue aster","Symphyotrichum laeve"
"N","H","Aster laevis var. geyeri","smooth aster","Symphyotrichum laeve var. geyeri"
"N","H","Aster laevis var. laevis","smooth aster","Symphyotrichum laeve var. laeve"
"N","H","Aster lanceolatus","panicled aster","Symphyotrichum lanceolatum"
"N","H","Aster hesperius","western panicled aster","Symphyotrichum lanceolatum var. hesperium"
"N","H","","white panicle aster","Symphyotrichum lanceolatum var. hirsuticaule"
"N","H","Aster lanceolatus var. interior","eastern panicled aster","Symphyotrichum lanceolatum var. interior"
"N","H","Aster lanceolatus var. lanceolatus, Aster lanceolatus var. simplex","eastern panicled aster","Symphyotrichum lanceolatum var. lanceolatum"
"N","H","Aster lateriflorus","side-flowering aster","Symphyotrichum lateriflorum"
"N","H","Aster novae-angliae","New England aster","Symphyotrichum novae-angliae"
"N","H","Aster oblongifolius","aromatic aster","Symphyotrichum oblongifolium"
"N","H","Aster ontarionis","Ontario aster","Symphyotrichum ontarionis var. ontarionis"
"N","H","Aster oolentangiensis","skyblue aster","Symphyotrichum oolentangiense"
"N","H","Aster pilosus","awl aster","Symphyotrichum pilosum"
"N","H","","awl aster","Symphyotrichum pilosum var. pilosum"
"N","H","","awl aster","Symphyotrichum pilosum var. pringlei"
"N","H","Aster praealtus, Aster praealtus var. praealtus","veiny lined aster","Symphyotrichum praealtum"
"N","H","Aster prenanthoides","crooked aster","Symphyotrichum prenanthoides"
"N","H","Aster puniceus s.s.","red-stemmed aster","Symphyotrichum puniceum var. puniceum"
"N","H","Aster sericeus","silky aster","Symphyotrichum sericeum"
"N","H","Aster shortii","Short's aster","Symphyotrichum shortii"
"N","H","Aster sagittifolius","tail-leaved aster","Symphyotrichum urophyllum"
"N","H","Aster xamethystinus, Aster x amethystinum","New England and heath aster hybrid","Symphyotrichum xamethystinum"
"N","H","Aster xlongulus","long aster","Symphyotrichum xlongulum"
"I","H","Chrysanthemum parthenium","feverfew","Tanacetum parthenium"
"I","H","Tanacetum vulgare","tansy","Tanacetum vulgare"
"I","H","Taraxacum laevigatum","red-seeded dandelion","Taraxacum erythrospermum"
"I","H","Taraxacum officinale","common dandelion","Taraxacum officinale"
"I","H","Tragopogon dubius","yellow goat's beard","Tragopogon dubius"
"I","H","Tragopogon pratensis","meadow goat's beard","Tragopogon pratensis"
"I","H","Matricaria maritima","scentless false mayweed","Tripleurospermum inodorum"
"U","H","Vernonia baldwinii var. interior","western ironweed","Vernonia baldwinii"
"N","H","Vernonia fasciculata, Vernonia fasciculata var. fasciculata, Vernonia fasciculata var. nebraskensis","bunched ironweed","Vernonia fasciculata"
"N","H","Xanthium strumarium, Xanthium strumarium var. canadense, Xanthium strumarium var. glabratum, Xanthium strumarium var. strumarium","cocklebur","Xanthium strumarium"
